Office,Location,Address Line 1,Address Line 2,City,State,Zipcode,Lat,Lng,FloorplanURL,EmergencyPlanURL
LJA Engineering,FORT,3017 West 7th St,Suite 300,Fort Worth,TX,76107,32.7508792,-97.3611227,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQBV2dT7gHppTJ5mH3HtEN7XAcWcJZ14Ltmum0zlEgAqtnA?e=tMOQvG,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/FortWorth,%20TX_(FORT)_3017W7thSt_EmergencyPlan.pdf?csf=1&web=1&e=gyjY7X"
LJA Engineering,FRIS,2591 Dallas Pkwy,Suite 260,Frisco,TX,75034,33.0998458,-96.8250365,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQBxpE7SdQF_QJdK5KCGQgvvAYAWZwufAPSeTdOb1FPjjbg?e=wxJAS8,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/Frisco,%20TX_(FRIS)_2591DallasPkwy_EmergencyPlan.pdf?csf=1&web=1&e=NwwmJz"
LJA Engineering,GAI2,643 SW 4th Avenue,Suite 220,Gainesville,FL,32601,29.6482597,-82.33156109,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQDOLurRQ6PCTqMBNs8ygsgvAcC5wHQtvTKrAdunAXqG1pA?e=XaZowo,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Florida/EmergencyFloorplans/Gainesville,%20FL_(GAI2)_643SW4thAve_EmergencyPlan.pdf?csf=1&web=1&e=DkAPhH"
LJA Engineering,GRAN,480 W Park Dr,Suite 201,Grand Junction,CO,81506,X,X,X,X
Freeland & Kauffman,GRE2,209 W Stone Avenue,,Greenville,SC,29609,34.86182874,-82.39925523,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/SouthCarolina/Greenville,%20SC_(GRE2)_209WStoneAve.pdf?csf=1&web=1&e=D142UP","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/SouthCarolina/EmergencyFloorplans/TBD_Greenville,%20SC_(GRE2)_209WStoneAve_EmergencyPlan.pdf?csf=1&web=1&e=xGlfO1"
LJA Engineering,GRIF,350 Airport Rd,,Griffin,GA,30224,33.22311176,-84.28476554,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Georgia/Griffin,%20GA_(GRIF)_350AirportRd.pdf?csf=1&web=1&e=8FzYx6","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Georgia/EmergencyFloorplans/Griffin,%20GA_(GRIF)_350AirportRd_EmergencyPlan.pdf?csf=1&web=1&e=BQn3bN"
BMK Construction,HOLL,103 Mountain Brook Dr,Suite 112,Holly Springs,GA,30115,34.17827262,-84.50386302,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Georgia/HollySprings,%20GA_(HOLL)_103MountainBrookDr.pdf?csf=1&web=1&e=KBVzd1","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Georgia/EmergencyFloorplans/HollySprings,%20GA_(HOLL)_103MountainBrookDr_EmergencyPlan.pdf?csf=1&web=1&e=K2OXZR"
GSA,HOOV,1550 Woods of Riverchase Dr,Suite 200,Hoover,AL,35244,33.35700088,-86.78608337,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Alabama/Hoover,%20AL_(HOOV)_1550WoodsofRiverchaseDr.pdf?csf=1&web=1&e=PazgVY","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Alabama/EmergencyFloorplans/Hoover,%20AL_(HOOV)_1550WoodsofRiverchaseDr_EmergencyPlan.pdf?csf=1&web=1&e=eOgKYc"
LJA Environmental,HOR2,115 Wild Basin Rd S,Suite 106,Austin,TX,78746,30.30452376,-97.82803681,"https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/Austin,%20TX_(HOR2)_115WildBasinRd.pdf?csf=1&web=1&e=JmdDvY","https://ljaeng.sharepoint.com/:b:/r/sites/Floorplans/Shared%20Documents/Texas/EmergencyFloorplans/Austin,%20TX_(HOR2)_115WildBasinRd_EmergencyPlan.pdf?csf=1&web=1&e=8ZDJTe"
CorePrint Solutions,HOU4,11116 W Little York Rd,Building 2,Houston,TX,77041,X,X,X,X
LJA Engineering,HOUS,3600 W Sam Houston Pkwy S,Suite 600,Houston,TX,77042,29.7254,-95.5589,https://ljaeng.sharepoint.com/:b:/s/Floorplans/IQBl5Fu5KebATLRYB2AKCFlpAUc0SUoQVljWUIBW0ITuLFc?e=MOVINy,X
